StudyDesign,Population,Outcome
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original study with the objective of comparing two diagnostic tests, indicating that it is an empirical research article rather than a review."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of multiple studies or data synthesis, which are hallmarks of a meta-analysis. Instead, it describes a prospective blind study with a specific design and outcome measures."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a study design and results, indicating that the paper is presenting original research rather than providing an opinion or commentary typical of editorials."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article published in a peer-reviewed journal."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract suggests that the study is a prospective blind study with a specific design, setting, and interventions, which is typical of research articles rather than letters to the editor."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as the introduction, methods, results, and discussion sections.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The words \'Evaluation\', \'uncompensated unilateral vestibulopathy\' and \'Modified Clinical Test for Sensory Interaction and Balance\' suggest that the paper is written in a language other than English, French or German."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that \'Ninety-eight patients with uncompensated unilateral vestibulopathy were enrolled\', indicating that the study involved adult patients."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that diagnosis was established through ocular motor studies, head roll and Dix-Hallpike tests, caloric testing, and pure tone audiometry."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly states that the research is focused on patients with uncompensated unilateral vestibulopathy, which directly relates to one of the specified conditions."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'uncompensated unilateral vestibulopathy\', which implies a persistent or enduring condition that has not been compensated for by the body."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only talks about the Modified Clinical Test for Sensory Interaction and Balance (mCTSIB) and the Sensory Organization Test (SOT)"" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the duration of symptoms, only that patients have uncompensated unilateral vestibulopathy."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be an original research study rather than a review article. It presents the results of an experiment and discusses the implications of those findings, which is typical of primary research articles.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an experimental study where cats were subjected to unilateral labyrinthectomy and then treated with lidocaine infusion, indicating that the paper is reporting on original research rather than a meta-analysis of existing studies."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a specific study with results and conclusions, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, likely published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original study with its own results and conclusions, which is typical of full-length articles rather than letters to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as introduction, methods, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The word \'lidocaine\' is a proper noun that refers to a specific medication, which suggests that the paper may have been written in a language other than English, French or German."" \n\n}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions cats as the subjects of the study, indicating that it is an animal-based research rather than a human clinical trial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any vestibular testing methods. It only describes the behavioral changes observed in cats after unilateral labyrinthectomy and the effect of lidocaine infusion on these changes."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'unilateral labyrinthectomy\', which is a procedure that results in unilateral vestibular hypofunction. The study also discusses symptoms related to vestibular function, such as nystagmus and rotary head motion, indicating that the population of this research is indeed related to unilateral vestibular dysfunction.""}']","['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a transient relief from symptoms (tinnitus, dizziness and emesis) after lidocaine infusion in humans. In the animal study, the cats were able to ambulate freely without falling within four hours of the lidocaine injection, but there is no mention of chronic or persistent symptoms."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to be focused on the effects of lidocaine infusion in cats after unilateral labyrinthectomy, and the results are described in terms of animal behavior and physiological responses rather than subjective experiences reported by patients."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the cats were able to ambulate freely without falling within four hours of a lidocaine infusion, indicating a short-term effect. There is no mention of duration of symptoms being more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The given text appears to be an abstract of a research study, not a review article. It presents the background, objective, methods, results, and conclusion of a specific study on vestibular dizziness and locomotor adaptation."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original study with specific methods and results, indicating that it is not a meta-analysis which typically synthesizes data from multiple studies to draw broader conclusions."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains a clear background, objective, methods, results, and conclusion, which is typical of a research article. It does not have the tone or structure of an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that it is a conference proceedings. It has an abstract and background information, which suggests a full-length research article."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract suggests that the study is a research article with an objective, methods, results, and conclusions, which is typical of full-length articles in medical journals. The title also appears to be a specific research question rather than a general topic or announcement, further supporting this conclusion."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as methodology, results in detail, and discussion.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract contains words like \'Meniere\'s disease\', which is a medical term that originated from the name of the French physician Prosper Meniere. However, the title itself does not give away the language of origin. But upon closer inspection, we can see that the word \'Vestibular\' and \'Neuritis\' are used in the abstract, which suggests that the paper is written in English.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'age-matched healthy controls (n = 15)\' and patients with Meniere\'s disease and vestibular neuritis, indicating that the study involves adult human subjects."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any specific vestibular testing methods such as the caloric test, rotatory chair test, or video head impulse test. It only mentions patients with contrasting peripheral vestibular deficits and Meniere\'s disease, but it does not specify how these diagnoses were made."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions patients with vestibular neuritis and unilateral Meniere\'s disease, which are conditions related to unilateral vestibular dysfunction."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions patients with vestibular neuritis in the \'chronic stable phase\' and those with strongly symptomatic unilateral Meniere\'s disease. This suggests that some symptoms are persistent or enduring, as they are described as being in a \'stable phase\'. Additionally, the fact that patients have \'symptomatic\' Meniere\'s disease implies that their symptoms are ongoing and not just acute.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study focuses on measuring locomotor adaptive learning using a motorised moving sled and examining patients with contrasting peripheral vestibular deficits."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular neuritis in the chronic stable phase (n = 20)\', which implies that the patients have been experiencing symptoms for more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an original research study with specific objectives, design, and results, indicating that it is an empirical study rather than a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a cross-sectional observational study with a convenience sample of participants, which is not characteristic of a meta-analysis. Meta-analyses typically involve the statistical synthesis of results from multiple studies to draw broader conclusions."" \n\n}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract describes a research study with specific methods, participants, and results, indicating that it is an original research article rather than an editorial.""\n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention it being a conference proceedings and the study design is described as \'cross-sectional observational\' which suggests a more formal publication rather than a conference proceeding."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article with its own data collection and analysis, rather than a short communication or response to another publication."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract provides a clear summary of the study\'s purpose, design, methods, results, and conclusions, indicating that it is likely based on an actual research paper.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular schwannoma (VS)\' which is a medical term that might not be commonly used in languages other than English. The use of technical terms like this suggests the paper was written primarily in English."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that a total of 34 participants (14 men and 20 women; mean [SD] age, 39.3 [13.6] years) were included in the study."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any vestibular testing methods such as the caloric test, rotatory chair test, or video head impulse test. It only mentions the use of wearable inertial sensors to quantify head and trunk kinematics."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly mentions \'unilateral vestibular hypofunction\' as the condition being studied, which is a synonym for unilateral vestibulopathy."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that individuals with vestibular hypofunction acutely restrict head motion to reduce symptoms of dizziness and nausea. It also states that the deficits in head-trunk kinematics were characterized along with a spectrum of disability in individuals in the subacute stage after VS surgery compared with healthy individuals, suggesting some level of persistent or enduring symptoms."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions the Dizziness Handicap Inventory score as a secondary outcome measure, which is a patient-reported questionnaire."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the participants were in the subacute stage after resection of a unilateral Vestibular Schwannoma (VS) and their data were collected 4 to 8 weeks after surgery, indicating symptoms duration less than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract appears to be an original research study rather than a review article, as it presents the results of a prospective study and discusses the conclusions drawn from that study."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a prospective study in the setting of a tertiary care medical center, indicating that it is an original research article rather than a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract describes a study with a specific methodology and outcome measures, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It mentions a prospective study in the setting of a tertiary care medical center, which suggests a more formal research publication."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a full study with a prospective design and analysis of results, which is not typical of letters to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a research study, as it summarizes the main points and findings of the study without providing detailed information or data.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the paper is \'Intratympanic gentamicin for intractable Meniere\'s disease\', which suggests that it may be written in a language other than English, French, or German. The use of the word \'intratympanic\' and \'Meniere\'s disease\' indicates that the paper is likely to be written in a scientific or medical context, possibly using specialized vocabulary from these fields.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that \'Seventy-one patients with unilateral Meniere\'s disease\' were studied, indicating that human patients above the age of 18 are involved in this study."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that \'quantitative measurement of vestibular function\' was performed as an outcome measure in the study."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'patients with unilateral Meniere\'s disease\' which is a condition related to the inner ear and can be considered as a type of unilateral vestibular dysfunction."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that vertigo was controlled in 83.1% of the patients, but also notes that recurrence of vertigo spells after initially complete control was noted in 17 patients. Additionally, hearing loss as a result of gentamicin injections occurred in some patients at the end of treatment and at follow-up periods (3 months and 2 years). These findings suggest that some symptoms may persist or recur over time."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions the use of the Dizziness Handicap Inventory and the University of California Los Angeles Dizziness Questionnaire as measures of self-reported handicap in patients with Meniere\'s disease."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the patients had been unresponsive to medical therapy for at least 1 year, which implies that their symptoms have been present for more than 12 months. However, it also states that they were studied as having unilateral Meniere\'s disease according to 1995 American Academy of Otolaryngology-Head and Neck Surgery guidelines, which typically requires a duration of vertigo spells of at least 3 months."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be an original research study rather than a review article. It presents specific findings and methods related to postural control in unilateral vestibular loss subjects, which suggests that the text is reporting on new research results rather than summarizing existing literature.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study investigating postural control in unilateral vestibular loss subjects compared to age-matched control subjects, and does not mention the synthesis of results from multiple studies, which is typical for a meta-analysis."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study investigating postural control in well-compensated unilateral vestibular loss subjects, indicating that it is a research article rather than an editorial.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, possibly published in a peer-reviewed journal.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, as it presents the results of a study and discusses its implications. The structure and content of the abstract are also consistent with those typically found in research articles.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The word \'Postural\' suggests a non-English origin, possibly from another language such as Spanish or Italian.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'age-matched control subjects\', indicating that the study involved adults, likely above the age of 18."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any specific vestibular testing methods such as caloric tests, rotatory chair tests, or video head impulse tests. It only discusses postural control and sensory weighting in unilateral vestibular loss subjects."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract explicitly mentions \'unilateral vestibular loss\' which is a condition related to the given options.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'well-compensated\' subjects with unilateral vestibular loss (UVL), implying that there are also uncompensated cases. Furthermore, the use of standardized balance and dizziness questionnaires in UVL subjects suggests that these individuals may still experience persistent symptoms or complaints."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the functional compensation of unilateral vestibular loss subjects was assessed by standardized balance and dizziness questionnaires."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not explicitly state the duration of symptoms, but it mentions \'well-compensated\' unilateral vestibular loss subjects. This implies that the subjects have been experiencing symptoms for some time and have compensated for them, but the exact duration is not specified."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific objectives, methods, results, and conclusions, which is typical of an empirical research article rather than a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a prospective study with specific details about the methodology and results, indicating that it is an original research article rather than a meta-analysis."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study\'s methodology and results, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, as indicated by the title and the presence of an abstract with a clear objective, methods, results, and conclusion."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research study with its own data and results, rather than a short communication or letter to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a research paper, as it summarizes the main points and findings of a study without providing detailed information or data."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the paper is in Romanian, which suggests that the original language of the paper is not English, French, or German."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study was conducted in an ENT Department, which implies that it involved adult patients. Additionally, the study\'s focus on vestibular disorders and their management suggests that the participants were likely adults or older children who could be affected by these conditions."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of vestibular testing methods such as caloric test, rotatory chair test, or video head impulse test. It only discusses the management and treatment of unilateral peripheral vestibular disorders in the emergency room."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly mentions \'unilateral peripheral vestibular disorders\' which is a synonym for the other terms listed, indicating that the population of this research is indeed related to these conditions."" \n\n}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the study included patients with acute, subacute, and chronic onset of peripheral vestibular disorders, but it does not describe any persistent, enduring, permanent, uncompensated, continuous, or recurrent symptoms, signs, or complaints. The focus is on the management and treatment of these conditions rather than their long-term impact."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in the management and assessment of unilateral peripheral vestibular disorders."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study included patients with \'chronic\' onset peripheral vestibular disorders, which implies a duration of symptoms of more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract appears to be an original research study rather than a review article, as it presents specific findings and results from experiments involving guinea pigs."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes an experimental study where guinea pigs were hemilabyrinthectomized or hemicerebellectomized and repeatedly tested on swimming and locomotor tasks. The text does not indicate a review of multiple studies, which is typical for meta-analyses."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains specific research findings and methodology, indicating that the paper is a scientific study rather than an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that the study was presented at a conference. The language and content suggest a research article published in a peer-reviewed journal."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract suggests that the study is a research article with an analysis of results, which is not typical of letters to editors. Letters to editors usually respond to or comment on previously published articles and do not contain original research findings."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as introduction, methods, results, and discussion."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract is written in English, which suggests that the original language of the paper is likely to be one of the major languages such as English, French or German."" \n\n}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions guinea pigs as subjects, which implies that the study was conducted on animals rather than humans."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any vestibular testing methods. It only talks about swimming and locomotor performances as the tasks used to assess recovery after hemilabyrinthectomy."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions hemilabyrinthectomy, which is a surgical procedure that involves the removal of one labyrinth (a part of the inner ear responsible for balance and equilibrium). This suggests that the research population has experienced unilateral vestibular loss or dysfunction."" \n\n}']","['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract states that hemilabyrinthectomized animals showed impaired swimming behavior which improved over time and within 21-25 days after the vestibular damage, the animals were able to swim around the tank with coordinated motor patterns. This suggests a recovery from initial impairments rather than persistent symptoms."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to be focused on the behavioral and locomotor performances of guinea pigs following hemilabyrinthectomy or hemicerebellectomy."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that hemilabyrinthectomized animals showed impaired swimming behavior which improved over time, with a specific timeline mentioned (21-25 days after the vestibular damage), but does not provide information on symptoms lasting more than 3 months."" }']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific results and conclusions, rather than a summary of existing literature. It does not mention reviewing or synthesizing previous research.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention a systematic review of multiple studies, nor does it indicate that the authors are combining data from several studies to draw conclusions. The language used suggests an observational study or a clinical investigation rather than a meta-analysis."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract contains specific research findings and results, which is typical of a research article rather than an editorial. The language used is also formal and objective, suggesting that the authors are presenting original research rather than offering opinions or perspectives."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, possibly published in a peer-reviewed journal.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that the study is a research article with an abstract and results, which is typical of full-length articles in medical journals. The tone and content are also more formal than what is usually found in letters to editors.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as methodology, results in detail, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The words \'Psychological comorbidities\' suggest that the paper is likely written in English, but the use of the phrase \'samples of dizzy patients\' and the specific reference to diagnostic findings such as \'vestibular evoked myogenic potential\' also suggest that the paper may be written in a language other than French or German.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'63 consecutive dizzy patients\', indicating that the study involved adult humans who are experiencing dizziness, and therefore likely above the age of 18."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the sample was subgrouped into patients with abnormal vestibular evoked myogenic potential as a single significant diagnostic finding. This suggests that some form of vestibular testing was used in this study."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'uncompensated unilateral peripheral vestibular system impairment\' which is a condition related to the population of interest.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'uncompensated unilateral peripheral vestibular system impairment\' and \'abnormal vestibular evoked myogenic potential as a single significant diagnostic finding\', which suggests that some patients have persistent symptoms. Additionally, the Dizziness Handicap Inventory total scores are correlated with patients\' complaints of somatic/autonomic symptoms, anxiety, depression, and coping strategies, indicating that these symptoms may be chronic or recurrent.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the Dizziness Handicap Inventory total scores were correlated with patients\' complaints of somatic/autonomic symptoms, anxiety, depression, and coping strategies. This suggests that the paper does indeed describe a patient-reported questionnaire."" }', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the duration of symptoms, only that patients were subgrouped into compensated and uncompensated unilateral peripheral vestibular system impairment, which implies a distinction between short-term and long-term conditions, but it does not specify more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a specific study with a clear methodology and results, indicating that it is an original research article rather than a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective study of 208 consecutive patients with vestibular schwannomas, indicating that it is an original research article rather than a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a specific study with methods, results, and conclusions, indicating that it is a research article rather than an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that the study was presented at a conference. It is written in a formal style and includes details about the methodology, results, and conclusions of the study, which suggests that it is an original research article published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a full-length research article with a clear objective, methods, results, and conclusion, which is typical of a journal article. The title also implies a comprehensive study rather than a brief communication or letter to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as detailed methodology, results, and discussion."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract mentions \'Management\' which is a common term in medical literature. However, the abstract itself does not provide any information about the language used to write the paper."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions a retrospective study of 208 consecutive patients with unilateral Vestibular Schwannomas (VS) who underwent stereotactic radiosurgery, indicating that the study involves human patients above the age of 18."" \n\n}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract does not mention any vestibular testing methods. It focuses on the management of vestibular schwannomas after stereotactic radiosurgery and discusses tumor enlargement, imaging characteristics, and treatment recommendations."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract is about the management of vestibular schwannomas, which are a type of tumor affecting the vestibular nerve. The population in this research includes patients with unilateral VS, indicating that they have some form of vestibular dysfunction or disorder."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that six (20%) patients had new symptoms noted at the time of tumor enlargement including hemifacial spasm (n = 2), ataxia (n = 2), trigeminal neuralgia (n = 1), and facial numbness (n = 1). This indicates that some patients experienced persistent or recurrent symptoms after radiosurgery."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in this study. It only discusses imaging characteristics and treatment outcomes."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not explicitly state the duration of symptoms, but it mentions that six (20%) patients had new symptoms noted at the time of tumor enlargement. However, it does not provide information on whether these symptoms were present for more than 3 months."" \n\n}']"
