,sr,Journal,Citation,Source,f_selection,f_rejection,Type_of_exclusion,reason_for_exclsuion,Comment,final_selection,titles,abstracts,dois
355,356,Acta Otorrinolaringol Esp,E. Martín Sanz and N. Pérez Fernández Intratympanic gentamicin in patients with Ménière's disease: analysis of our protocol 2004,PubMed,0.0,1.0,Design,Spanish,,0.0,[Intratympanic gentamicin in patients with Ménière's disease: analysis of our protocol],"Abstract
Objective: The aim of this paper is to analyze the peculiarities of a protocol for treatment with intratympanic gentamicin in patients with Ménière's disease.
Material and methods: 71 patients with unilateral disabling Ménière's disease were followed for a period longer than two years after concluding the treatment. AAO-HNS criteria for reporting treatment results was followed. Gentamicin was applied weekly until of symptoms or signs of vestibular hypofunction were noticed.
Results: Control of vertigo was obtained in 83% of the patients while in 24% a second course was needed beacuse of vertigo recurrence. 66% of the patients developed a typical syndrome of unilateral vestibular hypofunction in the ear treated.
Conclusions: Ending weekly injections of gentamicin for the treatment of patients with Ménière's disease when signs of vestibular hypofunction appear warrants a control of vertigo similar to that obtained in other series.",doi: 10.1016/s0001-6519(04)78521-0.
356,357,Acta Otolaryngol,"E. Martin-Sanz, I. Ortega Crespo, J. Esteban-Sanchez and R. Sanz Postural stability in a population of dancers, healthy non-dancers, and vestibular neuritis patients 2017",Pubmed,1.0,,,,,0.0,"Postural stability in a population of dancers, healthy non-dancers, and vestibular neuritis patients","Abstract
Introduction: Several studies have indicated better balance control in dancers than in control participants, but some controversy remains. The aim of our study is to evaluate the postural stability in a cohort of dancers, non-dancers, compensated, and non-compensated unilateral vestibular neuritis (VN).
Methods: This is a prospective study of control subjects, dancers, and VN patients between June 2009 and December 2015. Dancers from the Dance Conservatory of Madrid and VN patients were referred to our department for analysis. After the clinical history, neuro-otological examination, audiogram, and caloric tests, the diagnosis was done. Results from clinical examination were used for the categorization of compensation situation. A computerized dynamic posturography was performed to every subject.
Results: Forty dancers and 38 women formed both 'dancer' and 'normal' cohorts. Forty-two compensated and 39 uncompensated patients formed both 'compensated' and 'uncompensated' cohorts. Dancers had significantly greater antero-posterior (AP) body sway than controls during condition 5 and 6 in the Sensory Organization Test (SOT) (p < .05). When we compared the uncompensated cohort with both control and dancers groups, we found significant greater body sway in every SOT studied condition (p < .05). While mean AP body say in SOT 5 and 6, showed greater values in compensated patients than the control group, the mean analysis did not show any statistical difference between the compensated and dancer groups, in such SOT conditions.
Conclusions: Dancers demonstrated greater sways than non-dancers when they relied their postural control on vestibular input alone. Compensated patients had a similar posturographic pattern that the dancers cohort, suggesting a similar shift from visual to somatosensory information.
Keywords: Balance; dance; dynamic posturography; vertigo.",doi: 10.1080/00016489.2017.1322711.
357,358,Respir Physiol Neurobiol,"P. F. Martino, H. V. Forster, T. Feroah, J. Wenninger, M. Hodges and L. G. Pan Do neurotoxic lesions in rostral medullary nuclei induce/accentuate hypoventilation during NREM sleep? 2003",PubMed,0.0,1.0,Population,Animal study,,0.0,Do neurotoxic lesions in rostral medullary nuclei induce/accentuate hypoventilation during NREM sleep?,"Abstract
Experimentally induced neuronal dysfunction in respiratory regions of the rostral medulla decrease breathing more in anesthetized mammals than in awake mammals. Sleep is similar to anesthesia in that excitatory inputs to respiratory neurons are reduced compared to the awake state; thus, we hypothesized that neurotoxic lesions in rostral medullary nuclei would, relative to wakefulness (WK), induce and/or accentuate hypoventilation during non-rapid eye movement (NREM) sleep. To test the hypothesis, goats were studied between 21:00 h and 03:00 h: (1) before and 30 days after chronically implanting microtubules bilaterally into the rostral medulla and, (2) 9-15 h and 2-17 days after unilateral injections of 100 nl to 1 microl, 50 mM ibotenic acid into the vestibular, gigantocellularis reticularis, or facial nuclei, or the retrotrapezoid nucleus/parapyramidal region. Arterial blood was repeatedly sampled in all studies during WK, and NREM and rapid eye movement (REM) sleep states. There was no significant (P>0.10) change in Pa(CO(2)) between WK and NREM sleep (and REM sleep when sufficient data were obtained) before or after implantation of microtubules and in studies after creating the neurotoxic lesions. Breathing frequency also did not significantly (P>0.10) differ between states in any of the studies. The data thus did not support the hypothesis. We speculate that in goats efficient compensatory mechanisms maintain Pa(CO(2)) homeostasis during normal sleep and the same and/or other mechanisms maintain homeostasis when excitatory drive is further reduced by lesions in rostral medullary nuclei.",doi: 10.1016/s1569-9048(03)00186-1.
360,361,NeuroRehabilitation,"S. Maslovara, S. Butkovic-Soldo, M. Peric, I. Pajic Matic and A. Sestak Effect of vestibular rehabilitation on recovery rate and functioning improvement in patients with chronic unilateral vestibular hypofunction and bilateral vestibular hypofunction 2019",PubMed,0.0,1.0,Design,Guideline,SAME WITH 359,0.0,Effect of vestibular rehabilitation on recovery rate and functioning improvement in patients with chronic unilateral vestibular hypofunction and bilateral vestibular hypofunction,"Abstract
Background: The minimal number of studies have documented the impact of Vestibular rehabilitation (VR) on the recovery rate of patients with Chronic Unilateral Vestibular Hypofunction (CUVH) and Bilateral Vestibular Hypofunction (BVH).
Objectives: The goal of the study was to show and compare the impact of vestibular rehabilitation (VR) in patients with CUVH and BVH.
Methods: We analysed the data of 30 patients with CUVH and 20 with BVH treated with VR. The patients with CUVH during their eight-week treatment were controlled every two weeks, while the patients with BVH were controlled every three months during their one-year treatment; they filled in the DHI and ABC questionnaires every time.
Results: In both groups of patients, there was significantly less disablement between the initial and final DHI scores (from 59-20 in CUVH and 74-41 in BVH group). There was a significant increase in the balance confidence between the initial and final ABC Scale in both groups of patients (from 49.5-90% in CUVH and 42-73% in BVH group).
Conclusions: Well-planned and individually adjusted system of vestibular exercises leads to a significant decrease in clinical symptoms and improvement of functioning and confidence in activities in both the CUVH and the BVH patients.
Keywords: Vestibular rehabilitation therapy; bilateral vestibular hypofunction; chronic unilateral vestibular hypofunction; outcome.",doi: 10.3233/NRE-182524.
363,364,Arch Otolaryngol,J. A. McClure and P. Lycett Vestibular asymmetry. Some theoretical and practical considerations 1983,PubMed,0.0,1.0,Design,Review,,0.0,Vestibular asymmetry. Some theoretical and practical considerations,"Abstract
Pathological vestibular asymmetry can be divided into static and dynamic types. Static asymmetry results from a unilateral change of the resting neural input. Acute, chronic, and recovery stages can be recognized if one interprets the direction and intensity of the resultant spontaneous nystagmus relative to the clinical picture. Static asymmetry is additive with induced asymmetry and manifests itself as directional preponderance or as the direction-fixed or direction-changing feature of positional nystagmus. Dynamic asymmetry refers to abnormal asymmetry induced by normal head movements. For example, with unilateral hypofunction, a greater gain is observed with head movement toward the unaffected side, suggesting nonlinearity as specified by Eswald's second law. Visually induced vestibular asymmetry is a form of dynamic asymmetry generated by convergence of visual-vestibular information, and causing symptoms in certain ""motion-active"" visual environments.",doi: 10.1001/archotol.1983.00800240048009.
364,365,Front Neurol,"L. A. McGarvie, H. G. MacDougall, I. S. Curthoys and G. M. Halmagyi Spontaneous Recovery of the Vestibulo-Ocular Reflex After Vestibular Neuritis; Long-Term Monitoring With the Video Head Impulse Test in a Single Patient 2020",PubMed,0.0,1.0,Outcome,"No symptom, signs",,0.0,Spontaneous Recovery of the Vestibulo-Ocular Reflex After Vestibular Neuritis; Long-Term Monitoring With the Video Head Impulse Test in a Single Patient,"Abstract
Vestibular rehabilitation of patients in whom the level of vestibular function is continuously changing requires different strategies than in those where vestibular function rapidly becomes stable: where it recovers or where it does not and compensation is by catch-up saccades. In order to determine which of these situations apply to a particular patient, it is necessary to monitor the vestibulo-ocular reflex (VOR) gains, rather than just make a single measurement at a given time. The video Head Impulse Test (vHIT) is a simple and practical way to monitor precisely the time course and final level of VOR recovery and is useful when a patient has ongoing vestibular symptoms, such as after acute vestibular neuritis. In this study, we try to show the value of ongoing monitoring of vestibular function in a patient recovering from vestibular neuritis. Acute vestibular neuritis can impair function of any single semicircular canal (SCC). The level of impairment of each SCC, initially anywhere between 0 and 100%, can be accurately measured by the vHIT. In superior vestibular neuritis the anterior and lateral SCCs are the most affected. Unlike after surgical unilateral vestibular deafferentation, SCC function as measured by the VOR can recover spontaneously after acute vestibular neuritis. Here we report monitoring the VOR from all 6 SCCs for 500 days after the second attack in a patient with bilateral sequential vestibular neuritis. Spontaneous recovery of the VOR in response to anterior and lateral SCC impulses showed an exponential recovery with a time to reach stable levels being longer than previously considered or reported. VOR gain in response to low-velocity lateral SCC impulses recovered with a time constant of around 100 days and reached a stable level at about 200 days. However, in response to high-velocity lateral SCC and anterior SCC impulses, VOR gain recovered with a time constant of about 150 days and only reached a stable level toward the end of the 500 days monitoring period.
Keywords: VOR; VOR recovery; temporal profile; vHIT; vestibular neuritis; vestibulo-ocular reflex.",doi: 10.3389/fneur.2020.00732.
365,366,Otol Neurotol,"W. J. McLean, A. S. Hinton, J. T. J. Herby, A. N. Salt, J. J. Hartsock, S. Wilson, D. L. Lucchino, T. Lenarz, A. Warnecke, N. Prenzler, H. Schmitt, S. King, L. E. Jackson, J. Rosenbloom, G. Atiee, M. Bear, C. L. Runge, R. H. Gifford, S. D. Rauch, D. J. Lee, R. Langer, J. M. Karp, C. Loose and C. LeBel Improved Speech Intelligibility in Subjects With Stable Sensorineural Hearing Loss Following Intratympanic Dosing of FX-322 in a Phase 1b Study 2021",PubMed,0.0,1.0,Population,chronic SNHL,,0.0,Improved Speech Intelligibility in Subjects With Stable Sensorineural Hearing Loss Following Intratympanic Dosing of FX-322 in a Phase 1b Study,"Abstract
Objectives: There are no approved pharmacologic therapies for chronic sensorineural hearing loss (SNHL). The combination of CHIR99021+valproic acid (CV, FX-322) has been shown to regenerate mammalian cochlear hair cells ex vivo. The objectives were to characterize the cochlear pharmacokinetic profile of CV in guinea pigs, then measure FX-322 in human perilymph samples, and finally assess safety and audiometric effects of FX-322 in humans with chronic SNHL.
Study designs: Middle ear residence, cochlear distribution, and elimination profiles of FX-322 were assessed in guinea pigs. Human perilymph sampling following intratympanic FX-322 dosing was performed in an open-label study in cochlear implant subjects. Unilateral intratympanic FX-322 was assessed in a Phase 1b prospective, randomized, double-blinded, placebo-controlled clinical trial.
Setting: Three private otolaryngology practices in the US.
Patients: Individuals diagnosed with mild to moderately severe chronic SNHL (≤70 dB standard pure-tone average) in one or both ears that was stable for ≥6 months, medical histories consistent with noise-induced or idiopathic sudden SNHL, and no significant vestibular symptoms.
Interventions: Intratympanic FX-322.
Main outcome measures: Pharmacokinetics of FX-322 in perilymph and safety and audiometric effects.
Results: After intratympanic delivery in guinea pigs and humans, FX-322 levels in the cochlear extended high-frequency region were observed and projected to be pharmacologically active in humans. A single dose of FX-322 in SNHL subjects was well tolerated with mild, transient treatment-related adverse events (n = 15 FX-322 vs 8 placebo). Of the six patients treated with FX-322 who had baseline word recognition in quiet scores below 90%, four showed clinically meaningful improvements (absolute word recognition improved 18-42%, exceeding the 95% confidence interval determined by previously published criteria). No significant changes in placebo-injected ears were observed. At the group level, FX-322 subjects outperformed placebo group in word recognition in quiet when averaged across all time points, with a mean improvement from baseline of 18.9% (p = 0.029). For words in noise, the treated group showed a mean 1.3 dB signal-to-noise ratio improvement (p = 0.012) relative to their baseline scores while placebo-treated subjects did not (-0.21 dB, p = 0.71).
Conclusions: Delivery of FX-322 to the extended high-frequency region of the cochlea is well tolerated and enhances speech recognition performance in multiple subjects with stable chronic hearing loss.",doi: 10.1097/MAO.0000000000003120.
371,372,Eur Ann Otorhinolaryngol Head Neck Dis,"A. Meunier, P. Clavel, K. Aubry and J. Lerat A sudden bilateral hearing loss caused by inner ear hemorrhage 2020",PubMed,0.0,1.0,Population,sudden bilateral hearing loss,,0.0,A sudden bilateral hearing loss caused by inner ear hemorrhage,"Abstract
Introduction: Labyrinthine hemorrhage is a rare cause of sudden deafness and generally concerns only on one side.
Case summary: An 84-year-old man with a past medical history of myelomonocytic chronic leukemia (CMML) suffered from sudden bilateral hearing loss associated with vertigo. The audiogram revealed a left cophosis and a right profound deafness. Videonystagmography showed a left vestibular deficit. The MRI showed a spontaneous strong T1 weighted signal in the left and right labyrinths, corresponding to a bilateral inner ear hemorrhage (IEH). Dizziness resolved rapidly following vestibular physiotherapy, in contrast to hearing which did not improve at all and let the patient isolated in his environment. The patient successfully underwent cochlear implantation so that he could communicate.
Discussion: Most IEHs are unilateral and due to anticoagulants treatments and hematological diseases. Only rare cases have described bilateral labyrinth hemorrhage. This is the first case reported of bilateral labyrinth hemorrhage due to CMML.
Keywords: Chronic myelomonocytic leukemia; Dizziness; Hemorrhage; Inner ear; Sudden hearing loss.",doi: 10.1016/j.anorl.2019.05.021.
373,374,Eur Arch Otorhinolaryngol,"A. Micarelli, A. Viziano, E. Bruno, E. Micarelli, I. Augimeri and M. Alessandrini Gradient impact of cognitive decline in unilateral vestibular hypofunction after rehabilitation: preliminary findings 2018",Pubmed,1.0,,,,,0.0,Gradient impact of cognitive decline in unilateral vestibular hypofunction after rehabilitation: preliminary findings,"Abstract
Purpose: Considering recent advances in central cognitive- and age-related processing interfering with balance and sensory reweighting in uncompensated vestibular disorders, purpose of this study is to highlight the vestibular rehabilitation (VR) outcomes in a population of older adults and age-matched mild cognitive impairment (MCI) patients, both affected by unilateral vestibular hypofunction (UVH) and undergoing VR.
Methods: Vestibulo-ocular reflex (VOR), postural sway examination (respectively, performed by video head impulse test and static posturography) and dizziness-related and quality-of-life scores were collected in 12 UVH MCI individuals ≥ 55 years and 12 matched UVH older adults with age-appropriate cognitive function-cognitively evaluated by means of Mini-Mental State Examination (MMSE) and Alzheimer's Disease Assessment Scale-before and after a VR protocol.
Results: A significant post-treatment reduction in surface, length and power spectra (PS) values within low-frequency domain and an improvement in performance measures were recorded in both groups. Moreover, the VR protocol highlighted-when comparing pre-/post-treatment differences (Δ)-a significant (i) increase in Δ VOR gain; (ii) decrease in Δ surface and length and (iii) increase in Δ PS within low-frequency domain in older adults when compared to MCI patients. Positive correlations were found between MMSE and Δ Dynamic Gait Index, Δ surface and Δ PS within low-frequency domain when treating patients as 'a continuum' along the cognitive decline.
Conclusions: Present pilot findings suggest that the cognitive domain insight in older adults scheduled for VR protocols may positively impact on disability consequences.
Keywords: Aging; Cognitive decline; Mild cognitive impairment; Vestibular hypofunction; Vestibular rehabilitation.",doi: 10.1007/s00405-018-5109-y.
376,377,Eur Ann Otorhinolaryngol Head Neck Dis,"G. Michel, F. Espitalier, A. S. Delemazure and P. Bordure Isolated lateral semicircular canal aplasia: Functional consequences 2016",PubMed,0.0,1.0,Population,persistent unilateral tinnitus,,0.0,Isolated lateral semicircular canal aplasia: Functional consequences,"Abstract
Introduction: Lateral semicircular canal aplasia is a malformation of the inner ear, usually associated with vestibular and cochlear malformations in the context of congenital malformation syndromes. We report a rare case of a young patient with isolated lateral semicircular canal aplasia and no associated vestibular symptoms.
Clinical case summary: A 20-year-old man with no personal or family history presented with persistent unilateral tinnitus for three years with no associated vestibular symptoms. Moderate unilateral right sensorineural hearing loss was detected. Magnetic resonance imaging demonstrated isolated aplasia of the right lateral semicircular canal. Videonystagmography revealed right hyporeflexia. Vestibular evoked myogenic potentials were absent after stimulation on the right side and normal on the left side.
Discussion: Although the morphological abnormalities appeared to be isolated on imaging, the patient presented functional signs of global cochlear, semicircular canal and otolithic lesions, probably related to a developmental disorder of the membranous labyrinth. Functional investigations must be performed in the presence of isolated semicircular canal aplasia, even when it is an incidental finding, to exclude more extensive labyrinthine lesions.
Keywords: Semicircular canals; Sensorineural hearing loss; Tinnitus; Vestibular labyrinth.",doi: 10.1016/j.anorl.2015.09.002.
377,378,Rev Laryngol Otol Rhinol (Bord),"J. Michel, G. Dumas, J. P. Lavieille and R. Charachon Diagnostic value of vibration-induced nystagmus obtained by combined vibratory stimulation applied to the neck muscles and skull of 300 vertiginous patients 2001",PubMed,1.0,,,,,0.0,Diagnostic value of vibration-induced nystagmus obtained by combined vibratory stimulation applied to the neck muscles and skull of 300 vertiginous patients,"Abstract
On subjects with unilateral vestibular dysfunction, the application of a vibratory stimulation (100 Hz) to the two mastoids and the vertex, and to the right and left dorsal neck muscles produces a nystagmus directed towards the good ear in 85% of patients. Fixation must be suppressed by Frenzel's glasses or video nystagmoscopy. To be significant this nystagmus must appear in at least 3 of the 5 vibratory stimulated sites. On healthy subjects nystagmus is present in 6% of cases but never in those below 30 years. In subjects affected by central vertigo, nystagmus was elicited in 10% of cases and in subjects suffering from vertigo of unknown origin in 6% of cases. Vibration nystagmus which stops immediately after stimulation differs from head shaking nystagmus which is present in only 34% of unilateral vestibular dysfunctions. Vibration occasionally produces a pseudo-caloric nystagmus which persists after stimulation. We believe that vibratory stimulation is a useful test, quick and easy to perform. In conjunction with questionnaires, clinical examination, positional testing and the results of audiometry, it gives an immediate indication of a peripheral lesion when the vertigo is seen for the first time. With unilateral deafness, a positive test leads one to suspect an acoustic neuroma. Conversely if the test becomes negative after a vestibular neuritis when it was initially positive, it is a sign of recovery.",Not Found
378,379,Clin Neurophysiol,"D. M. Miller, J. F. Baker and W. Z. Rymer Ascending vestibular drive is asymmetrically distributed to the inferior oblique motoneuron pools in a subset of hemispheric stroke survivors 2016",PubMed,0.0,1.0,Population,chronic stroke,,0.0,Ascending vestibular drive is asymmetrically distributed to the inferior oblique motoneuron pools in a subset of hemispheric stroke survivors,"Abstract
Objective: Aberrant vestibular nuclear function is proposed to be a principle driver of limb muscle spasticity after stroke. Although spasticity does not manifest in ocular muscles, we sought to determine whether altered cortical modulation of ascending vestibuloocular pathways post-stroke could impact the excitability of ocular motoneurons.
Methods: Nineteen chronic stroke survivors, aged 49-68 yrs. were enrolled. Vestibular evoked myogenic potentials (VEMPs) were recorded from the inferior oblique muscles of the eye using surface EMG electrodes. We assessed the impact of ascending otolith pathways on eye muscle activity and evaluated the relationship between otolith-ocular function and the severity of spasticity.
Results: VEMP responses were recorded bilaterally in 14/19 subjects. Response magnitude on the affected side was significantly larger than on the spared side. In a subset of subjects, there was a strong relationship between affected response amplitude and the severity of limb spasticity, as estimated using a standard clinical scale.
Conclusions: This study suggests that alterations in ascending vestibular drive to ocular motoneurons contribute to post-stroke spasticity in a subset of spastic stroke subjects. We speculate this imbalance is a consequence of the unilateral disruption of inhibitory corticobulbar projections to the vestibular nuclei.
Significance: This study potentially sheds light on the underlying mechanisms of post-stroke spasticity.
Keywords: Hemispheric stroke; Human; Motoneuron; Ocular vestibular evoked myogenic potentials; Otolith-ocular pathways; Post-stroke spasticity.",doi: 10.1016/j.clinph.2016.01.019.
379,380,Clin Neurophysiol,"D. M. Miller, C. S. Klein, N. L. Suresh and W. Z. Rymer Asymmetries in vestibular evoked myogenic potentials in chronic stroke survivors with spastic hypertonia: evidence for a vestibulospinal role 2014",PubMed,0.0,1.0,Population,chronic stroke survivors,,0.0,Asymmetries in vestibular evoked myogenic potentials in chronic stroke survivors with spastic hypertonia: evidence for a vestibulospinal role,"Abstract
Objective: Indirect evidence suggests that lateralized changes in motoneuron behavior post-stroke are potentially due to a depolarizing supraspinal drive to the motoneuron pool, but the pathways responsible are unknown. In this study, we assessed vestibular evoked myogenic potentials (VEMPs) in the neck muscles of hemispheric stroke survivors with contralesional spasticity to quantify the relative levels of vestibular drive to the spastic-paretic and contralateral motoneuron pools.
Methods: VEMPs were recorded from each sternocleidomastoid muscle in chronic stroke survivors. Side-to-side differences in cVEMP amplitude were calculated and expressed as an asymmetry ratio, a proxy for the relative amount of vestibular drive to each side.
Results: Spastic-paretic VEMPs were larger than contralateral VEMPs in 13/16 subjects. There was a strong positive relationship between the degree of asymmetry and the severity of spasticity in this subset of subjects. Remaining subjects had larger contralateral responses.
Conclusion: Vestibular drive to cervical motoneurons is asymmetric in spastic stroke survivors, supporting our hypothesis that there is an imbalance in descending vestibular drive to motoneuron pools post-stroke. We speculate this imbalance is a consequence of the unilateral disruption of inhibitory corticobulbar projections to the vestibular nuclei.
Significance: This study sheds new light on the underlying mechanisms of post-stroke spasticity.
Keywords: Chronic stroke subjects; Hemispheric stroke; Human; Motoneuron; Post-stroke spasticity; Vestibular evoked myogenic potentials; Vestibulospinal.",doi: 10.1016/j.clinph.2014.01.035.
380,381,Am J Otol,L. B. Minor Intratympanic gentamicin for control of vertigo in Meniere's disease: vestibular signs that specify completion of therapy 1999,PubMed,1.0,,,,,0.0,Intratympanic gentamicin for control of vertigo in Meniere's disease: vestibular signs that specify completion of therapy,"Abstract
Objective: To determine if a protocol of weekly intratympanic gentamicin injections administered until development of signs of unilateral vestibular hypofunction can alleviate vertigo while preserving hearing in patients with intractable vertigo caused by unilateral Meniere's disease.
Study design: The study design was a prospective investigational protocol.
Setting: The study was performed in outpatients at a tertiary referral center.
Patients: Entry criteria included a diagnosis of ""definite"" Meniere's disease according to the 1995 report of the American Academy of Otolaryngology-Head and Neck Surgery (AAO-HNS), intractable vertigo despite optimal medical therapy, no symptoms suggestive of Meniere's disease in the contralateral ear and serviceable hearing in the contralateral ear. The outcomes of the first 34 patients who entered the protocol are reported.
Intervention: A buffered gentamicin solution was injected into the middle ear at weekly intervals until development of spontaneous nystagmus, head-shaking-induced nystagmus, or head-thrust sign indicative of vestibular hypofunction in the treated ear.
Main outcome measure: The 1995 AAO-HNS criteria for reporting treatment outcome in Meniere's disease were used. The effects of treatment were assessed in terms of control of vertigo, disability status, hearing level, and quantitative measurement of vestibular function with caloric and rotatory chair tests.
Results: Vertigo was controlled in 91% of the patients. Profound hearing loss occurred as a result of gentamicin injection in one patient (3%). Intratympanic gentamicin was significantly less effective in controlling vertigo in patients who had previous otologic surgery on the affected ear. Recurrence of vertigo > or = 6 months after initially complete control was noted in seven patients (22%). Vertigo in six of these patients was eliminated by additional intratympanic gentamicin injections.
Conclusions: Ending weekly intratympanic gentamicin injections when clinical signs of unilateral vestibular hypofunction appear can control vertigo in most patients. Hearing loss directly attributable to gentamicin is uncommon. Treatment outcome is best in patients who have not had previous otologic surgery.",Not Found
381,382,Auris Nasus Larynx,N. Mizushima and Y. Murakami Deafness following mumps: the possible pathogenesis and incidence of deafness 1986,PubMed,0.0,1.0,Population,unilateral deafness,,0.0,Deafness following mumps: the possible pathogenesis and incidence of deafness,"Abstract
Mumps is thought to be the most common cause of unilateral acquired sensorineural deafness in children. Mumps deafness is usually sudden in onset, profound or complete, and may be associated with vestibular symptoms. The authors' clinical survey of 55 patients with unilateral deafness which could reasonably be ascribed to mumps indicates that the hearing loss is exclusively unilateral, severe or total and permanent, and that approximately 45% of the patients experienced dysequilibrium of vestibular origin. An analysis of the present series of mumps deafness also suggests that the primary route of invasion of the virus is hematogenous, and thus the term ""viral endolymphatic labyrinthitis"" is proposed as the possible pathogenesis of the deafness, since both tympanogenic and meningogenic routes of viral invasion to the labyrinth can be excluded on the basis of the clinical and cerebrospinal fluid studies. This view of the pathogenesis, particularly that mumps meningitis is not associated with deafness, is supported by several reports including those of Vuori et al. (1962), Azimi et al., (1969), Lindsay (1973), Nadol (1978), etc. The incidence of deafness following mumps appears to be extremely low, approximately 1:20,000, as estimated by Everberg (1957).",doi: 10.1016/s0385-8146(86)80035-9.
382,383,Eur J Neurol,"K. Möhwald, H. Hadzhikolev, S. Bardins, S. Becker-Bense, T. Brandt, E. Grill, K. Jahn, M. Dieterich and A. Zwergal Health-related quality of life and functional impairment in acute vestibular disorders 2020",PubMed,1.0,,,,,0.0,Health-related quality of life and functional impairment in acute vestibular disorders,"Abstract
Background and purpose: Acute vestibular symptoms have a profound impact on patients' well-being. In this study, health-related quality of life (HRQoL) and functional impairment were investigated prospectively in patients with different peripheral and central vestibular disorders during the acute symptomatic stage to decipher the most relevant underlying factors.
Methods: In all, 175 patients with acute vestibular disorders were categorized as central vestibular (CV, n = 40), peripheral vestibular (PV, n = 68) and episodic vestibular disorders (EV, n = 67). All patients completed scores to quantify generic HRQoL (European Quality of Life Score Five Dimensions Five Levels, EQ-5D-5L) and disease-specific HRQoL (Dizziness Handicap Inventory, DHI). Vestibular-ocular motor signs were assessed by video-oculography, vestibular-spinal control by posturography and verticality perception by measurement of subjective visual vertical.
Results: Patients with PV had a poorer HRQoL compared to patients with CV and EV (EQ-5D-5L/DHI: PV, 0.53 ± 0.31/56.1 ± 19.7; CV, 0.66 ± 0.28/43.3 ± 24.0; EV, 0.75 ± 0.24/46.7 ± 21.4). After adjusting for age, gender, cardiovascular risk factors and non-vestibular brainstem/cerebellar dysfunction patients with PV persisted to have poorer generic and disease-specific HRQoL (EQ-5D-5L -0.17, DHI +11.2) than patients with CV. Horizontal spontaneous nystagmus was a highly relevant factor for subgroup differences in EQ-5D-5L and DHI, whilst vertical spontaneous nystagmus, subjective visual vertical and sway path were not. EQ-5D-5L decreased significantly with more intense horizontal subjective visual vertical in CV (rho = -0.57) and PV (rho = -0.5) but not EV (rho = -0.13).
Conclusions: Patients with PV have the highest functional impairment of all patients with acute vestibular disorders. Vestibular-ocular motor disturbance in the yaw plane has more impact than vestibular-spinal or vestibular-perceptive asymmetry in the roll and pitch plane, suggesting that horizontal visual stability is the most critical for HRQoL.
Keywords: acute unilateral peripheral vestibulopathy; quality of life; recurrent vestibulopathies; vestibular stroke; video-oculography.",doi: 10.1111/ene.14318.
384,385,Ugeskr Laeger,"M. N. Møller, P. Cayé-Tomasen and J. H. Thomsen Vestibular nerve section in the treatment of morbus Ménière 2009",PubMed,0.0,1.0,Design,Danish,,0.0,[Vestibular nerve section in the treatment of morbus Ménière],"Abstract
Introduction: Vestibular nerve section in the treatment of Mb. Ménière was introduced in Denmark in 1980. This treatment is centralised at Gentofte Hospital and we have previously published the results from 1980-1996. We here present the updated results from 2000-2007 with a total of 18 patients.
Material and methods: Systematic review of case journals and questionnaires regarding postoperative satisfaction, vertigo control and influence on daily activities.
Results: All patients achieved total vertigo spell control. In total 15 patients (83%) indicated satisfaction with the operation. Sixteen patients (89%) reported that vertigo had no, mild, or moderate influence on their daily activities. The difference between pre- and postoperative functional level was highly significant. Expected consequences of unilateral ablation in the form of imbalanced gait or lingering sensation of dizziness occurred to varying degrees in 14 patients (78%).
Complications: Two patients developed postoperative liquorrhoea and one patient partial facial palsy.
Conclusion: The results demonstrate that vestibular nerve section causes vertigo spell control and improved daily functional levels in patients with severe and otherwise untreatable Mb. Ménière. These results are in accordance with international publications. New prospects in vestibular rehabilitation promise significant reductions of the postoperative imbalance. Continued centralisation of the surgical intervention is recommended, as is providing patients with information of the positive results of this treatment.",Not Found
385,386,Acta Otolaryngol Suppl,"H. Monobe, K. Sugasawa and T. Murofushi The outcome of the canalith repositioning procedure for benign paroxysmal positional vertigo: are there any characteristic features of treatment failure cases? 2001",PubMed,0.0,1.0,Outcome,no long term follow up,,0.0,The outcome of the canalith repositioning procedure for benign paroxysmal positional vertigo: are there any characteristic features of treatment failure cases?,"Abstract
To demonstrate the success rate of the canalith repositioning procedure (CRP) in our clinic and to establish any characteristic features of cases of treatment failure, we reviewed clinical records of 62 patients who were diagnosed with posterior semicircular canal-benign paroxysmal positional vertigo (BPPV) and treated with the CRP. The basic strategy of the CRP was to rotate the involved canal slowly in the plane of gravity so that free-floating materials could migrate into the utricle only once. After the procedure we instructed patients to keep their heads upright for 10 h and not to sleep on the affected ear for 2 weeks. After the initial treatment, successful results were obtained in 51 of the 62 patients (82.2%). After the second treatment, 56 patients (90.3%) experienced success. Six patients (9.7%) did not obtain resolution even after the second treatment. While 46 patients were diagnosed with idiopathic BPPV, in 16 patients a different diagnosis was determined (head injury in 7 patients, Ménière's disease in 2, vestibular neuritis in 2 and unilateral sensorineural hearing loss in 5). We categorized these 16 patients as having secondary BPPV. Patients with idiopathic BPPV showed a significantly higher success rate with CRP than those with secondary BPPV. Patients with secondary BPPV may have quantitatively or qualitatively different lesions than those with idiopathic BPPV.",doi: 10.1080/000164801750388081.
